stkcd,reptdt,ralatedpartyid,repart,relation,trasub,direction,repat,isam,principl,rigicy,cogicy,number,prvn,indusb,listplte,period
603766,2019-12-31,-1.0,LONCIN MOTOR EGYPT,06,1.0,1.0,01,6906245.55,None,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,LONCIN MOTOR EGYPT,06,1.0,1.0,01,6906245.55,None,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,LONCIN MOTOR EGYPT,06,1.0,1.0,01,6906245.55,None,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,LONCIN MOTOR EGYPT,06,1.0,1.0,01,6906245.55,None,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,LONCIN MOTOR EGYPT,06,1.0,1.0,01,6906245.55,None,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,LONCIN MOTOR EGYPT,06,1.0,1.0,01,6906245.55,None,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,LONCIN MOTOR EGYPT,06,1.0,1.0,01,6906245.55,None,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,LONCIN MOTOR EGYPT,06,1.0,1.0,01,6906245.55,None,0.0,89.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州力驰进出口有限公司,12,1.0,1.0,01,1998082.37,None,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州力驰进出口有限公司,12,1.0,1.0,01,1998082.37,None,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州力驰进出口有限公司,12,1.0,1.0,01,1998082.37,None,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州力驰进出口有限公司,12,1.0,1.0,01,1998082.37,None,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州力驰进出口有限公司,12,1.0,1.0,01,1998082.37,None,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州力驰进出口有限公司,12,1.0,1.0,01,1998082.37,None,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州力驰进出口有限公司,12,1.0,1.0,01,1998082.37,None,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州力驰进出口有限公司,12,1.0,1.0,01,1998082.37,None,0.0,89.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东元齐新动力科技有限公司,12,1.0,1.0,01,2099920.74,None,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东元齐新动力科技有限公司,12,1.0,1.0,01,2099920.74,None,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东元齐新动力科技有限公司,12,1.0,1.0,01,2099920.74,None,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东元齐新动力科技有限公司,12,1.0,1.0,01,2099920.74,None,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东元齐新动力科技有限公司,12,1.0,1.0,01,2099920.74,None,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东元齐新动力科技有限公司,12,1.0,1.0,01,2099920.74,None,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东元齐新动力科技有限公司,12,1.0,1.0,01,2099920.74,None,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东元齐新动力科技有限公司,12,1.0,1.0,01,2099920.74,None,0.0,89.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,10372484.0,重庆金菱车世界有限公司,03,1.0,1.0,01,2564341.5,None,,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,10965356.0,德州金大路新能源车业有限公司,12,1.0,1.0,01,16174581.74,None,,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路房地产开发有限公司,12,1.0,1.0,01,28414.81,None,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路房地产开发有限公司,12,1.0,1.0,01,28414.81,None,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路房地产开发有限公司,12,1.0,1.0,01,28414.81,None,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路房地产开发有限公司,12,1.0,1.0,01,28414.81,None,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路房地产开发有限公司,12,1.0,1.0,01,28414.81,None,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路房地产开发有限公司,12,1.0,1.0,01,28414.81,None,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路房地产开发有限公司,12,1.0,1.0,01,28414.81,None,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路房地产开发有限公司,12,1.0,1.0,01,28414.81,None,0.0,89.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东富路勇士汽车有限公司,12,1.0,1.0,01,2690470.85,None,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东富路勇士汽车有限公司,12,1.0,1.0,01,2690470.85,None,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东富路勇士汽车有限公司,12,1.0,1.0,01,2690470.85,None,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东富路勇士汽车有限公司,12,1.0,1.0,01,2690470.85,None,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东富路勇士汽车有限公司,12,1.0,1.0,01,2690470.85,None,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东富路勇士汽车有限公司,12,1.0,1.0,01,2690470.85,None,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东富路勇士汽车有限公司,12,1.0,1.0,01,2690470.85,None,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,山东富路勇士汽车有限公司,12,1.0,1.0,01,2690470.85,None,0.0,89.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,10878409.0,山东枣粮先生生物科技有限公司,12,1.0,1.0,03,1775.67,None,,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,10143851.0,清华大学,12,1.0,1.0,01,342300.89,None,,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,10854198.0,遵义拓特铸锻有限公司,12,1.0,1.0,01,27563.42,None,,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,10207264.0,重庆镁业科技股份有限公司,03,1.0,2.0,07,759754.3,None,,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,10356440.0,重庆宝汇钢结构工程有限公司,10,1.0,2.0,07,82011.43,None,,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,10591173.0,广州威能机电有限公司,02,1.0,1.0,06,310000000.0,None,0.0,75.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,10591173.0,广州威能机电有限公司,02,1.0,1.0,06,310000000.0,None,0.0,90.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,NEMAK Exterior S.L.U.,12,1.0,2.0,05,580000.0,None,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,NEMAK Exterior S.L.U.,12,1.0,2.0,05,580000.0,None,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,NEMAK Exterior S.L.U.,12,1.0,2.0,05,580000.0,None,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,NEMAK Exterior S.L.U.,12,1.0,2.0,05,580000.0,None,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,NEMAK Exterior S.L.U.,12,1.0,2.0,05,580000.0,None,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,NEMAK Exterior S.L.U.,12,1.0,2.0,05,580000.0,None,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,NEMAK Exterior S.L.U.,12,1.0,2.0,05,580000.0,None,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,NEMAK Exterior S.L.U.,12,1.0,2.0,05,580000.0,None,0.0,89.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,100.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,79.8,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,65.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,67.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,80.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
603766,2019-12-31,-1.0,德州富路车业有限公司,12,1.0,2.0,02,20643169.62,None,0.0,51.0,,重庆市,铁路、船舶、航空航天和其他运输设备制造业,主板,Pre-COVID
