stkcd_01,reptdt,repart,relation,trasub,direction,repttype,isam,pannrsm,repat,corebs,site,year,prvn_01,pftn_01,indusb_01,indcodeb_01,coname_cn_01,listplte,coname_cn,prvn_02,pftn_02,period
603766,2019-12-31,LONCIN MOTOR EGYPT,06,1.0,1.0,1.0,6906245.55,0.21035154680696733,01,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,德州力驰进出口有限公司,12,1.0,1.0,1.0,1998082.37,0.060857916813750024,01,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,山东元齐新动力科技有限公司,12,1.0,1.0,1.0,2099920.74,0.06395972640026266,01,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,重庆金菱车世界有限公司,03,1.0,1.0,1.0,2564341.5,0.07810512921399078,01,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,德州金大路新能源车业有限公司,12,1.0,1.0,1.0,16174581.74,0.4926480333391461,01,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,德州富路房地产开发有限公司,12,1.0,1.0,1.0,28414.81,0.0008654628904305443,01,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,山东富路勇士汽车有限公司,12,1.0,1.0,1.0,2690470.85,0.08194679740811651,01,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,山东枣粮先生生物科技有限公司,12,1.0,1.0,1.0,1775.67,1.0,03,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,清华大学,12,1.0,1.0,1.0,342300.89,0.01042585601157804,01,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,遵义拓特铸锻有限公司,12,1.0,1.0,1.0,27563.42,0.0008395311157579822,01,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,重庆镁业科技股份有限公司,03,1.0,2.0,1.0,759754.3,0.9025721443898649,07,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,重庆宝汇钢结构工程有限公司,10,1.0,2.0,1.0,82011.43,0.09742785561013513,07,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,广州威能机电有限公司,02,1.0,1.0,1.0,310000000.0,1.0,06,发电机及发电机组制造、安装、销售,广州市番禺区丽骏路25号,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,NEMAK Exterior S.L.U.,12,1.0,2.0,1.0,580000.0,0.29292929292929293,05,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,NEMAK Exterior S.L.U.,12,1.0,2.0,1.0,1400000.0,0.7070707070707071,05,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,德州富路车业有限公司,12,1.0,2.0,1.0,20643169.62,0.9460359424134436,02,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,德州富路车业有限公司,12,1.0,1.0,1.0,455752.22,1.0,02,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,关键管理人员,09,1.0,2.0,1.0,7122600.0,1.0,20,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,"重庆隆鑫机车有限公司,重庆金菱车世界有限公司",11,2.0,3.0,1.0,24001928.59,0.9043410342746708,07,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,"山东丽驰新能源汽车有限公司,山东元齐新动力科技有限公司",11,2.0,3.0,1.0,234513.28,0.00883595588542435,07,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,"广州威能机电有限公司,广州宝言贸易有限公司",11,2.0,3.0,1.0,1957527.75,0.07375543441929594,07,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,"广州威能机电有限公司,广州金言贸易有限公司",11,2.0,3.0,1.0,289019.91,0.01088964844451161,07,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,"广州威能机电有限公司,广州金言贸易有限公司",11,2.0,3.0,1.0,57803.91,0.002177926976097215,07,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2019-12-31,东莞市志金机械设备有限公司,12,1.0,2.0,1.0,1177533.69,0.053964057586556306,02,,,2019,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,Pre-COVID
603766,2020-12-31,重庆镁业科技股份有限公司,03,1.0,2.0,1.0,1024935.82,0.012595749006937476,01,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,重庆亚庆机械制造有限公司,10,1.0,2.0,1.0,73967747.93,0.9090122223796405,01,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,平顶山兆民实业有限公司,12,1.0,2.0,1.0,4260508.25,0.052358685794576316,01,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,贵州航电科技有限公司,12,1.0,2.0,1.0,184756.36,0.002270527278474259,01,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,山东丽驰新能源汽车有限公司,12,1.0,2.0,1.0,21030.09,0.0002584451924348841,01,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,山东元齐新动力科技有限公司,07,1.0,2.0,1.0,1893743.16,0.023272787487283484,01,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,重庆宝汇钢结构工程有限公司,10,1.0,2.0,1.0,18844.26,0.0002315828606531398,01,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,诺玛科(南京)汽车零部件有限公司,12,1.0,1.0,1.0,36182536.17,0.41908228075241105,01,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,诺玛科(重庆)汽车零部件有限公司,12,1.0,1.0,1.0,43955848.63,0.5091162545853165,01,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,山东元齐新动力科技有限公司,07,1.0,1.0,1.0,204311.39,0.00236642569505363,01,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,德州金大路新能源车业有限公司,07,1.0,1.0,1.0,590542.22,0.00683992352762131,01,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,遵义拓特铸锻有限公司,12,1.0,1.0,1.0,3163648.97,0.03664279418165551,01,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,重庆金菱车世界有限公司,03,1.0,1.0,1.0,2240659.76,0.025952321257942095,01,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,重庆镁业科技股份有限公司,03,1.0,2.0,1.0,304388.58,0.7877551038365657,07,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,重庆宝汇钢结构工程有限公司,10,1.0,2.0,1.0,82011.43,0.21224489616343434,07,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,广东超能投资集团有限公司,12,1.0,2.0,1.0,3000000.0,0.18650539945969224,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,广东超能投资集团有限公司,12,1.0,2.0,1.0,4000000.0,0.24867386594625632,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,广东超能投资集团有限公司,12,1.0,2.0,1.0,2000000.0,0.12433693297312816,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,广东超能投资集团有限公司,12,1.0,2.0,1.0,2000000.0,0.12433693297312816,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,NEMAKExteriorS.L.U.,12,1.0,2.0,1.0,580000.0,0.03605771056220717,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,NEMAKExteriorS.L.U.,12,1.0,2.0,1.0,1400000.0,0.08703585308118972,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,NegriM.-NegriG.,12,1.0,2.0,1.0,1881000.0,0.11693888546122704,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,广东超能投资集团有限公司,12,1.0,2.0,1.0,230308.35,0.01431791693855087,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
603766,2020-12-31,NEMAKExteriorS.L.U.,12,1.0,2.0,1.0,571356.13,0.035520334419797954,05,,,2020,重庆市,九龙坡区,铁路、船舶、航空航天和其他运输设备制造业,C37,隆鑫通用动力股份有限公司,主板,,,,During-COVID
