stkcd_01,year,coname_cn_01,prvn_01,pftn_01,indusb_01,indcodeb_01,isam,pannrsm,repat,relation,trasub,direction,coname_cn_02,prvn_02,pftn_02,corebs,period
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,226243578.3,1,3,3,1,2,达濠市政建设有限公司,广东省,汕头市,,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,430000000,0.115127175,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,430000000,0.115127175,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电。,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,120000000,0.032128514,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,120000000,0.032128514,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电。,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,100000000,0.026773762,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,100000000,0.026773762,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电。,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,200000000,0.053547523,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,200000000,0.053547523,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电。,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,20000000,0.005354752,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,20000000,0.005354752,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电。,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,80000000,0.021419009,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,80000000,0.021419009,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电。,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,100000000,0.026773762,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,100000000,0.026773762,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电。,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,100000000,0.026773762,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,100000000,0.026773762,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电。,Pre-COVID
603797,2017,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,290813200,1,4,11,2,3,"汕头市联泰新溪水务有限公司,达濠市政建设有限公司",广东省,汕头市,,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,168270767.6,1,3,3,1,2,达濠市政建设有限公司,广东省,汕头市,,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,120000000,0.024120603,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,120000000,0.024120603,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,200000000,0.040201005,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,200000000,0.040201005,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,20000000,0.004020101,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,20000000,0.004020101,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,80000000,0.016080402,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,80000000,0.016080402,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,100000000,0.020100503,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,100000000,0.020100503,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,100000000,0.020100503,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,100000000,0.020100503,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,1000000000,0.201005025,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,1000000000,0.201005025,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,200000000,0.040201005,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,股权投资，实业投资，环保项目投资，旅游项目投资，投资咨询，企业管理，受托资产管理；基础设施项目投资；建筑工程施工；销售：建筑材料、建筑机械设备、五金交电,Pre-COVID
603797,2018,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,200000000,0.040201005,6,1,1,2,广东省联泰集团有限公司,广东省,汕头市,建筑行业,Pre-COVID
603797,2019,广东联泰环保股份有限公司,广东省,汕头市,生态保护和环境治理业,N77,1020085397,1,3,3,1,2,达濠市政建设有限公司,广东省,汕头市,,Pre-COVID
